ID,X,Y,income,size,Gitter_ID_100m,Cluster Nr.
0_0,1179.6167836190236,565.5065160407052,4202.68,2,100mN500E1100,2
0_1,1179.6167836190236,565.5065160407052,4383.51,2,100mN500E1100,2
0_2,1179.6167836190236,565.5065160407052,5137.27,3,100mN500E1100,2
0_3,1179.6167836190236,565.5065160407052,4455.82,2,100mN500E1100,2
0_4,1179.6167836190236,565.5065160407052,4746.29,2,100mN500E1100,2
0_5,1179.6167836190236,565.5065160407052,4255.78,2,100mN500E1100,2
0_6,1179.6167836190236,565.5065160407052,3790.48,1,100mN500E1100,2
0_7,1179.6167836190236,565.5065160407052,4357.83,2,100mN500E1100,2
1_0,398.7294302294087,-990.5446160476174,2743.62,2,100mN-1000E300,0
2_0,712.558786198659,1449.4998708684789,4213.1,2,100mN1400E700,2
3_0,1727.3377005575137,1122.3201373439615,5110.07,2,100mN1100E1700,2
3_1,1727.3377005575137,1122.3201373439615,4917.92,2,100mN1100E1700,2
3_2,1727.3377005575137,1122.3201373439615,4903.46,2,100mN1100E1700,2
3_3,1727.3377005575137,1122.3201373439615,5273.01,3,100mN1100E1700,2
3_4,1727.3377005575137,1122.3201373439615,4411.67,2,100mN1100E1700,2
3_5,1727.3377005575137,1122.3201373439615,5196.73,2,100mN1100E1700,2
3_6,1727.3377005575137,1122.3201373439615,4223.95,2,100mN1100E1700,2
4_0,1292.0127259143846,1348.7723963438325,4347.31,1,100mN1300E1200,2
5_0,1243.0679922745696,512.6621132296821,9478.19,3,100mN500E1200,1
6_0,1047.4467095964758,901.2820429069176,8516.15,3,100mN900E1000,1
6_1,1047.4467095964758,901.2820429069176,9768.76,4,100mN900E1000,1
6_2,1047.4467095964758,901.2820429069176,10569.78,6,100mN900E1000,1
6_3,1047.4467095964758,901.2820429069176,9152.55,3,100mN900E1000,1
7_0,700.3103653382432,889.1460100896998,4651.86,3,100mN800E700,2
7_1,700.3103653382432,889.1460100896998,4080.86,2,100mN800E700,2
7_2,700.3103653382432,889.1460100896998,4297.86,2,100mN800E700,2
7_3,700.3103653382432,889.1460100896998,5192.81,3,100mN800E700,2
7_4,700.3103653382432,889.1460100896998,4474.73,2,100mN800E700,2
7_5,700.3103653382432,889.1460100896998,3996.46,2,100mN800E700,2
7_6,700.3103653382432,889.1460100896998,5235.06,3,100mN800E700,2
8_1,1252.1681471040558,1625.8811920293483,8412.53,1,100mN1600E1200,1
8_2,1252.1681471040558,1625.8811920293483,9399.61,4,100mN1600E1200,1
9_0,101.08348748844725,-758.9974849744785,2812.51,2,100mN-800E100,0
10_0,1477.8252684089323,1356.432827253564,4691.59,2,100mN1300E1400,2
10_1,1477.8252684089323,1356.432827253564,5133.2,3,100mN1300E1400,2
10_2,1477.8252684089323,1356.432827253564,4409.43,2,100mN1300E1400,2
10_3,1477.8252684089323,1356.432827253564,5166.04,2,100mN1300E1400,2
10_4,1477.8252684089323,1356.432827253564,4506.55,2,100mN1300E1400,2
10_5,1477.8252684089323,1356.432827253564,4393.77,2,100mN1300E1400,2
10_6,1477.8252684089323,1356.432827253564,4690.32,2,100mN1300E1400,2
10_7,1477.8252684089323,1356.432827253564,4865.44,2,100mN1300E1400,2
10_8,1477.8252684089323,1356.432827253564,3662.66,1,100mN1300E1400,2
11_0,2309.8271916777653,1112.646349525751,2325.68,1,100mN1100E2300,3
11_1,2309.8271916777653,1112.646349525751,2567.82,1,100mN1100E2300,3
11_2,2309.8271916777653,1112.646349525751,2915.22,2,100mN1100E2300,3
11_3,2309.8271916777653,1112.646349525751,2439.92,1,100mN1100E2300,3
11_4,2309.8271916777653,1112.646349525751,2011.93,1,100mN1100E2300,3
11_5,2309.8271916777653,1112.646349525751,2338.39,1,100mN1100E2300,3
11_6,2309.8271916777653,1112.646349525751,2711.68,1,100mN1100E2300,3
11_7,2309.8271916777653,1112.646349525751,2408.13,1,100mN1100E2300,3
11_8,2309.8271916777653,1112.646349525751,2661.6,1,100mN1100E2300,3
11_10,2309.8271916777653,1112.646349525751,2363.23,1,100mN1100E2300,3
11_11,2309.8271916777653,1112.646349525751,2135.17,1,100mN1100E2300,3
11_12,2309.8271916777653,1112.646349525751,2465.15,1,100mN1100E2300,3
11_13,2309.8271916777653,1112.646349525751,2788.24,2,100mN1100E2300,3
11_14,2309.8271916777653,1112.646349525751,2563.08,1,100mN1100E2300,3
11_15,2309.8271916777653,1112.646349525751,2467.66,1,100mN1100E2300,3
11_16,2309.8271916777653,1112.646349525751,2660.04,2,100mN1100E2300,3
11_17,2309.8271916777653,1112.646349525751,2656.96,2,100mN1100E2300,3
11_18,2309.8271916777653,1112.646349525751,2604.09,1,100mN1100E2300,3
11_19,2309.8271916777653,1112.646349525751,2641.53,1,100mN1100E2300,3
11_20,2309.8271916777653,1112.646349525751,2286.79,1,100mN1100E2300,3
11_21,2309.8271916777653,1112.646349525751,2527.26,1,100mN1100E2300,3
11_22,2309.8271916777653,1112.646349525751,2265.93,1,100mN1100E2300,3
11_23,2309.8271916777653,1112.646349525751,2756.25,2,100mN1100E2300,3
11_24,2309.8271916777653,1112.646349525751,2415.59,1,100mN1100E2300,3
11_25,2309.8271916777653,1112.646349525751,2077.94,1,100mN1100E2300,3
11_26,2309.8271916777653,1112.646349525751,2700.32,1,100mN1100E2300,3
11_27,2309.8271916777653,1112.646349525751,2026.85,1,100mN1100E2300,3
11_28,2309.8271916777653,1112.646349525751,2386.91,1,100mN1100E2300,3
11_29,2309.8271916777653,1112.646349525751,2456.51,1,100mN1100E2300,3
11_30,2309.8271916777653,1112.646349525751,2801.9,2,100mN1100E2300,3
11_31,2309.8271916777653,1112.646349525751,2944.94,2,100mN1100E2300,3
11_32,2309.8271916777653,1112.646349525751,2226.58,1,100mN1100E2300,3
11_33,2309.8271916777653,1112.646349525751,2825.66,2,100mN1100E2300,3
11_34,2309.8271916777653,1112.646349525751,2878.29,1,100mN1100E2300,3
11_35,2309.8271916777653,1112.646349525751,2544.2,1,100mN1100E2300,3
11_36,2309.8271916777653,1112.646349525751,2458.17,1,100mN1100E2300,3
11_37,2309.8271916777653,1112.646349525751,2483.9,1,100mN1100E2300,3
11_38,2309.8271916777653,1112.646349525751,2671.16,1,100mN1100E2300,3
11_40,2309.8271916777653,1112.646349525751,2607.35,1,100mN1100E2300,3
12_0,599.5086556967528,343.36980463607813,2894.83,1,100mN300E500,0
12_1,599.5086556967528,343.36980463607813,2963.28,3,100mN300E500,0
12_2,599.5086556967528,343.36980463607813,3179.57,1,100mN300E500,0
12_3,599.5086556967528,343.36980463607813,3273.68,3,100mN300E500,0
12_4,599.5086556967528,343.36980463607813,3288.86,3,100mN300E500,0
12_5,599.5086556967528,343.36980463607813,3335.87,3,100mN300E500,0
12_6,599.5086556967528,343.36980463607813,2741.62,1,100mN300E500,0
12_7,599.5086556967528,343.36980463607813,2955.59,1,100mN300E500,0
12_8,599.5086556967528,343.36980463607813,2874.41,2,100mN300E500,0
12_9,599.5086556967528,343.36980463607813,3265.47,3,100mN300E500,0
12_10,599.5086556967528,343.36980463607813,2740.96,1,100mN300E500,0
12_11,599.5086556967528,343.36980463607813,2822.45,2,100mN300E500,0
12_12,599.5086556967528,343.36980463607813,3408.35,2,100mN300E500,0
12_13,599.5086556967528,343.36980463607813,2966.02,1,100mN300E500,0
12_14,599.5086556967528,343.36980463607813,3042.68,2,100mN300E500,0
12_15,599.5086556967528,343.36980463607813,3498.01,2,100mN300E500,0
12_16,599.5086556967528,343.36980463607813,3027.4,1,100mN300E500,0
12_17,599.5086556967528,343.36980463607813,3501.79,3,100mN300E500,0
12_18,599.5086556967528,343.36980463607813,2923.01,2,100mN300E500,0
12_19,599.5086556967528,343.36980463607813,3120.53,2,100mN300E500,0
12_20,599.5086556967528,343.36980463607813,3256.77,2,100mN300E500,0
12_21,599.5086556967528,343.36980463607813,3153.92,1,100mN300E500,0
12_22,599.5086556967528,343.36980463607813,2798.65,1,100mN300E500,0
12_23,599.5086556967528,343.36980463607813,2850.87,2,100mN300E500,0
12_24,599.5086556967528,343.36980463607813,2995.33,2,100mN300E500,0
12_25,599.5086556967528,343.36980463607813,2642.76,2,100mN300E500,0
12_26,599.5086556967528,343.36980463607813,3117.04,1,100mN300E500,0
12_27,599.5086556967528,343.36980463607813,2821.61,1,100mN300E500,0
12_28,599.5086556967528,343.36980463607813,3186.35,2,100mN300E500,0
12_29,599.5086556967528,343.36980463607813,3041.27,2,100mN300E500,0
12_30,599.5086556967528,343.36980463607813,2945.77,2,100mN300E500,0
12_31,599.5086556967528,343.36980463607813,2939.62,1,100mN300E500,0
12_32,599.5086556967528,343.36980463607813,2602.57,1,100mN300E500,0
12_33,599.5086556967528,343.36980463607813,2905.68,2,100mN300E500,0
12_34,599.5086556967528,343.36980463607813,2928.15,2,100mN300E500,0
12_35,599.5086556967528,343.36980463607813,2687.76,2,100mN300E500,0
12_36,599.5086556967528,343.36980463607813,3116.96,2,100mN300E500,0
12_37,599.5086556967528,343.36980463607813,3145.68,3,100mN300E500,0
12_39,599.5086556967528,343.36980463607813,2481.15,1,100mN300E500,0
12_40,599.5086556967528,343.36980463607813,2836.09,2,100mN300E500,0
12_41,599.5086556967528,343.36980463607813,2887.71,3,100mN300E500,0
12_42,599.5086556967528,343.36980463607813,2965.2,2,100mN300E500,0
12_43,599.5086556967528,343.36980463607813,3384.02,4,100mN300E500,0
12_44,599.5086556967528,343.36980463607813,3192.57,2,100mN300E500,0
12_45,599.5086556967528,343.36980463607813,2999.21,4,100mN300E500,0
12_46,599.5086556967528,343.36980463607813,3108.52,2,100mN300E500,0
12_47,599.5086556967528,343.36980463607813,3427.77,2,100mN300E500,0
12_48,599.5086556967528,343.36980463607813,3341.89,2,100mN300E500,0
12_49,599.5086556967528,343.36980463607813,2502.71,2,100mN300E500,0
