ID,X,Y,cost,capacity,Gitter_ID_100m,coord_x_grid,coord_y_grid,Cluster Nr.
0_0,1556.930315428486,1111.4327292598964,1314.98,2,100mN1100E1500,1500,1100,2
1_1,-511.7174274744924,-611.581276650078,904.19,2,100mN-700E-600,-600,-700,0
1_2,-511.7174274744924,-611.581276650078,703.98,1,100mN-700E-600,-600,-700,0
1_3,-511.7174274744924,-611.581276650078,667.42,1,100mN-700E-600,-600,-700,0
2_0,1530.5031818423463,423.9321758067308,1148.18,2,100mN400E1500,1500,400,2
3_0,886.023227138628,1420.6872782934088,1298.86,2,100mN1400E800,800,1400,2
3_1,886.023227138628,1420.6872782934088,1249.36,2,100mN1400E800,800,1400,2
4_0,819.0837576781769,1294.4110717356991,1233.95,2,100mN1200E800,800,1200,2
5_0,-652.9349198022475,-988.9843793170004,924.58,2,100mN-1000E-700,-700,-1000,0
6_1,-744.2790219707948,-1478.8814263177608,952.67,2,100mN-1500E-800,-800,-1500,0
7_0,877.2465812867149,647.7505932271247,1171.56,2,100mN600E800,800,600,2
7_1,877.2465812867149,647.7505932271247,1314.04,2,100mN600E800,800,600,2
8_0,-1765.3135779984152,-2427.138902941083,989.99,3,100mN-2500E-1800,-1800,-2500,0
8_1,-1765.3135779984152,-2427.138902941083,960.67,3,100mN-2500E-1800,-1800,-2500,0
9_0,-804.3386851732419,-949.2932224271708,930.1,2,100mN-1000E-900,-900,-1000,0
9_2,-804.3386851732419,-949.2932224271708,817.85,2,100mN-1000E-900,-900,-1000,0
11_0,3130.917364412938,1822.7540948552248,630.3,1,100mN1800E3100,3100,1800,3
11_1,3130.917364412938,1822.7540948552248,917.08,2,100mN1800E3100,3100,1800,3
11_3,3130.917364412938,1822.7540948552248,708.44,1,100mN1800E3100,3100,1800,3
11_4,3130.917364412938,1822.7540948552248,700.13,1,100mN1800E3100,3100,1800,3
11_6,3130.917364412938,1822.7540948552248,841.83,2,100mN1800E3100,3100,1800,3
11_7,3130.917364412938,1822.7540948552248,716.21,1,100mN1800E3100,3100,1800,3
11_8,3130.917364412938,1822.7540948552248,686.7,1,100mN1800E3100,3100,1800,3
11_9,3130.917364412938,1822.7540948552248,602.11,1,100mN1800E3100,3100,1800,3
12_0,-534.858090307397,-1132.470580476185,917.12,2,100mN-1200E-600,-600,-1200,0
12_1,-534.858090307397,-1132.470580476185,902.29,2,100mN-1200E-600,-600,-1200,0
12_3,-534.858090307397,-1132.470580476185,966.38,3,100mN-1200E-600,-600,-1200,0
13_1,1402.0191341872123,1049.5907938169153,1184.58,1,100mN1000E1400,1400,1000,2
14_0,2250.520439903865,1932.606431591405,1374.92,2,100mN1900E2200,2200,1900,2
14_1,2250.520439903865,1932.606431591405,890.85,1,100mN1900E2200,2200,1900,2
14_2,2250.520439903865,1932.606431591405,1300.81,2,100mN1900E2200,2200,1900,2
14_3,2250.520439903865,1932.606431591405,1483.32,3,100mN1900E2200,2200,1900,2
14_4,2250.520439903865,1932.606431591405,1155.54,1,100mN1900E2200,2200,1900,2
14_5,2250.520439903865,1932.606431591405,1150.23,2,100mN1900E2200,2200,1900,2
15_0,808.2140864565495,1727.521025579421,1520.17,3,100mN1700E800,800,1700,2
16_0,2577.5608247174114,1899.3253871581423,1222.64,1,100mN1800E2500,2500,1800,2
16_1,2577.5608247174114,1899.3253871581423,1149.98,1,100mN1800E2500,2500,1800,2
16_2,2577.5608247174114,1899.3253871581423,1302.57,1,100mN1800E2500,2500,1800,2
16_3,2577.5608247174114,1899.3253871581423,1483.04,4,100mN1800E2500,2500,1800,2
16_4,2577.5608247174114,1899.3253871581423,1577.59,3,100mN1800E2500,2500,1800,2
16_5,2577.5608247174114,1899.3253871581423,1217.69,2,100mN1800E2500,2500,1800,2
17_0,2765.0525576580376,3866.134390850847,2781.88,5,100mN3800E2700,2700,3800,1
18_0,2604.7268247464326,728.8869773140929,709.94,1,100mN700E2600,2600,700,3
19_0,1398.1842062971689,1025.2693153627486,1195.15,2,100mN1000E1300,1300,1000,2
19_1,1398.1842062971689,1025.2693153627486,1155.66,1,100mN1000E1300,1300,1000,2
19_2,1398.1842062971689,1025.2693153627486,1332.45,2,100mN1000E1300,1300,1000,2
19_3,1398.1842062971689,1025.2693153627486,1283.39,2,100mN1000E1300,1300,1000,2
19_4,1398.1842062971689,1025.2693153627486,1383.83,2,100mN1000E1300,1300,1000,2
19_5,1398.1842062971689,1025.2693153627486,1495.43,2,100mN1000E1300,1300,1000,2
20_0,1450.7041958570248,998.909969729577,1280.89,2,100mN900E1400,1400,900,2
20_1,1450.7041958570248,998.909969729577,1590.04,3,100mN900E1400,1400,900,2
20_2,1450.7041958570248,998.909969729577,1265.4,2,100mN900E1400,1400,900,2
21_1,-340.57774269047763,-2121.3571487669155,917.12,2,100mN-2200E-400,-400,-2200,0
22_0,1078.7336625087394,1154.408221533274,1534.58,2,100mN1100E1000,1000,1100,2
22_2,1078.7336625087394,1154.408221533274,1482.17,2,100mN1100E1000,1000,1100,2
22_3,1078.7336625087394,1154.408221533274,1244.47,2,100mN1100E1000,1000,1100,2
22_4,1078.7336625087394,1154.408221533274,1298.55,2,100mN1100E1000,1000,1100,2
22_5,1078.7336625087394,1154.408221533274,1226.3,2,100mN1100E1000,1000,1100,2
23_0,1280.0586620083468,166.03050865893908,1191.41,2,100mN100E1200,1200,100,2
23_1,1280.0586620083468,166.03050865893908,1414.55,3,100mN100E1200,1200,100,2
24_1,2091.599706922424,1531.5351616960636,1299.5,2,100mN1500E2000,2000,1500,2
24_2,2091.599706922424,1531.5351616960636,1148.61,2,100mN1500E2000,2000,1500,2
24_4,2091.599706922424,1531.5351616960636,1520.16,3,100mN1500E2000,2000,1500,2
25_0,742.1607746750349,1541.77679696932,1181.11,1,100mN1500E700,700,1500,2
25_1,742.1607746750349,1541.77679696932,867.93,1,100mN1500E700,700,1500,2
25_2,742.1607746750349,1541.77679696932,1263.07,2,100mN1500E700,700,1500,2
25_3,742.1607746750349,1541.77679696932,1395.51,2,100mN1500E700,700,1500,2
25_4,742.1607746750349,1541.77679696932,1528.23,3,100mN1500E700,700,1500,2
25_5,742.1607746750349,1541.77679696932,1140.07,2,100mN1500E700,700,1500,2
25_6,742.1607746750349,1541.77679696932,1300.46,2,100mN1500E700,700,1500,2
25_7,742.1607746750349,1541.77679696932,1155.68,2,100mN1500E700,700,1500,2
26_0,1765.819578505295,869.9421186567015,1269.39,2,100mN800E1700,1700,800,2
27_1,887.4626468121038,400.3035441438901,1365.68,3,100mN400E800,800,400,2
27_2,887.4626468121038,400.3035441438901,1643.77,3,100mN400E800,800,400,2
27_3,887.4626468121038,400.3035441438901,1115.47,1,100mN400E800,800,400,2
28_0,922.3791634786832,468.4328122995489,1423.83,2,100mN400E900,900,400,2
29_1,1354.7047107125093,911.9196391661244,1315.69,2,100mN900E1300,1300,900,2
29_2,1354.7047107125093,911.9196391661244,1224.43,2,100mN900E1300,1300,900,2
30_0,3373.303802063497,1237.830630440251,1194.55,1,100mN1200E3300,3300,1200,2
30_1,3373.303802063497,1237.830630440251,1360.63,2,100mN1200E3300,3300,1200,2
30_2,3373.303802063497,1237.830630440251,1427.54,3,100mN1200E3300,3300,1200,2
30_3,3373.303802063497,1237.830630440251,1356.8,3,100mN1200E3300,3300,1200,2
30_4,3373.303802063497,1237.830630440251,1324.85,2,100mN1200E3300,3300,1200,2
30_5,3373.303802063497,1237.830630440251,1188.08,2,100mN1200E3300,3300,1200,2
31_0,257.36724211842386,728.925631611012,1154.57,2,100mN700E200,200,700,2
31_1,257.36724211842386,728.925631611012,1249.47,2,100mN700E200,200,700,2
32_0,2913.516535578732,599.1988126466629,884.8,1,100mN500E2900,2900,500,3
